Platform,Month,url,טקסט,Author,topic,likes,comments,shares,"interactions",views
לינקדאין,Jan-21,https://www.linkedin.com/posts/mottyalon_myintelstory-iamintel-activity-6761667288455241728-94yP,"סופו של דבר - כולנו ילדים שאוהבים לשחק. אז כששואלים אותי מה אני עושה בעבודה, אני אומר: ""משחק"".",motty alon,טכנולוגי,25,2,,"27",1211
לינקדאין,Mar-21,https://www.linkedin.com/posts/adi-ben-david-0a41a4b5_myintelstory-ctf-cybersecurity-activity-6774215418857955328-np39,"כבר תקופה ארוכה שאני מפנטזת על השתתפות ב-CTF והנה סוף סוף הצלחתי להשתתף באחד 😁 למי שלא מכירים, CTF זה קיצור של Capture The Flag. מדובר על תחרות פתרון משימות. בכל משימה מוחבא איזשהו ""דגל"" שאנחנו צריכים לשכנע את המשימה לגלות לנו. מאחר וזו התחרות הראשונה שלי התחלתי בקטן ולקחתי את אחת המשימות הקלות. המשימה פתחה לי אתר שאחרי שיטוט קל מצאתי איך להריץ בו פקודות ושיכנעתי את השרת לתת לי את הדגל הרצוי. אחלה סיפתח לתחרות. תאכלס הייתי קצת מרוצה מעצמי אחרי זה והמשכתי באופתימיות לקראת המשימה הבאה. המשימות הבאות כבר הלכו לי הרבה פחות טוב 😅 פתחתי מספר משימות, חיפשתי מה שהצלחתי להעלות על דעתי לגגל, שוטטתי במכונה הוירטואלית ומערכת הקבצים. האמת, הרגשתי קצת אבודה וקצת ויתרתי על התחרות. ביום השלישי (והאחרון) לתחרות החלטתי לתת פוש אחרון. חזרתי למשימות הפתוחות שלי והפעם התעמקתי יותר בניסוחי השאלות לחפש מילות מפתח שאולי פספסתי פעם קודמת. אחרי (לא מעט) חיפושים ברשת מצאתי את הכלים והפקודות שהייתי צריכה והצלחתי לפתור עוד משימות 😃 מה אני לוקחת איתי מפה? אז קודם כל, למדתי איך לקרוא משימות CTF ובפעם הבאה אדע לשים לב יותר טוב לפרטים. הוכחתי לעצמי שאני מסוגלת לפתור בעיות גם אם אני לא מכירה את התחום ממנו הן לקוחות. ואני יוצאת עם גאווה, כי אומנם המשימות היו לי קשות, אבל זה רק גרם לפתרון להיות משמעותי יותר. תודה ל Leading Cyber Ladies על הארגון ואני כבר מחכה לפעם הבאה",Adi Ben David,טכנולוגי,23,8,,"31",1221
לינקדאין,Mar-21,https://www.linkedin.com/posts/adi-ben-david-0a41a4b5_iseccon2021-ctf-cybersecurity-activity-6782952826445291521-SaW2,"1 day ago אז השתתפתי בעוד CTF, הפעם במסגרת כנס #iSecCon2021 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩 המשימות היו מאתגרות, מה שאומר שהסיפוק ממציאת הפיתרון רק היה גדול יותר 😊 החלטתי לכתוב על אחד האתגרים ולשתף אתכם בתהליך הפתרון. מה קיבלנו עם האתגר, מה ניסיתי, האתגרים שצצו (והניסיונות הכושלים בדרך) ובסוף את הנסיון המוצלח שנתן את הדגל. קישור ל write-up: https://lnkd.in/d_75uCc",Adi Ben David,טכנולוגי,13,5,,"18",434
לינקדאין,Mar-21,https://www.linkedin.com/posts/alik-feldman-84b8a939_iamintel-myintelstory-droneshow-activity-6778578816815263744-B5Vm,"הגיע אתמול, במייל של העבודה, וידאו עם מופע רחפנים מרהיב באירלנד בחגיגות הסנט פטריק דיי. רעיון מדהים. מופע ""זיקוקים"" משוגע, רק בלי להפחיד הלומי קרב ובלי להבריח בעלי חיים. טכנולוגיה ותפעול של אינטל. הלכתי להרים גינס. שבת שלום.",Alik Feldman,טכנולוגי,78,12,,"90",1931
לינקדאין,Mar-21,https://www.linkedin.com/posts/alik-feldman-84b8a939_myintelstory-iamintel-engineering-activity-6773477497226047488-08Ak,"פרוייקט שאני עובד עליו כבר שלושה חודשים מגיע לשלבי סיום. האביזר הפשוט בתמונה ייקבע אם המכונה שאני מתקין, עוברת ומתקדמת לשלב הבא של הרצת סיליקון. הgauge הזה מודד מרווח בין זרועות רובוטיות והוא אחד מאביזרים רבים שמשמשים אותנו בהתקנת מכונות שדורשות דיוק של מיקרומטרים (ככה זה כשמייצרים בננומטרים). הכנסנו לשימוש אביזרים כאלו כדי לחסוך שעות של מדידה בכלים קונבנציונליים (קאליפרים למיניהם). זה ספציפית, הכי קטן והכי כחול בארגז הכלים שלי וכל פעם כשראיתי אותו השבוע, תהיתי אם אני הולך לעבור או להיכשל. Go/ No Go. למה להיכשל? כי כל זה קורה בזמן שאני ממתין לציון במבחן שהוא ליטרלי 'אימת הכימאים' - תרמודינמיקה בפתוחה. קשוח ביותר. במיוחד אם אתה עסוק גם בעבודה, משפחה וקורונה כל הסמסטר. לקבל no go במבחן יהיה כואב במיוחד. במצבים כאלו, אני מגייס את כל מה מה שיכול לעזור לי ובעיקר את עצמי. אבל עם כל ההתכווננות, המאמצים והשמיניות באוויר, כמובן שחוויתי המון מתח וציפייה. מזל שזוגתי רקחה לי תמציות פרחי באך מדוייקות במיוחד. ואז הגיע הסמס מהפתוחה... עברתי את המבחן!! מי רוצה לנחש כמה? ולסיום השבוע המתיש, האביזר נתן לי Go סופסוף והמכונה שלי עוברת! מעניין אם זה בזכות זה שלמדתי, טרחתי ונערכתי לכל תרחיש, או שזה בכלל התמציות של אישתי, שמתגלה כאן כסוג של כימאית על🤗",Alik Feldman,טכנולוגי,42,21,,"63",1822
לינקדאין,Mar-21,https://www.linkedin.com/posts/alik-feldman-84b8a939_iamintel-myintelstory-gaming-activity-6782235193156739072-UcF7,"איך אני יודע שאינטל מוציאה מוצר פגז? הגיימר בן ה14 שאני מגדל בבית, רץ אליי עם סרטוני הביקורת האלו וצועק ""כזה אני רוצה - כזה!!"" כיף לראות שינוי של מגמה אצל היוטיוברים שנהנו לחבוט בנו בחודשים האחרונים. מצרף את הביקורות בתגובות. חג שמח✌️",Alik Feldman,טכנולוגי,24,3,,"27",693
לינקדאין,Mar-21,https://www.linkedin.com/posts/alik-feldman-84b8a939_myintelstory-iamintel-womenday-activity-6772516726178492416-y4Gp,"1 month ago יש כזה גם לבנים? לכבוד יום האישה 2021, יש כאן מיזם AI חמוד של אינטל ו-Supersonas, שמזמין נשים להזין טיפים לניהול קריירה מוצלחת. טכנולוגיה פורצת דרך כבר תזקק את התובנות והחכמה הקולקטיבית שלכן ותיצור מאגר של טיפים רלוונטיים עבור הדור הבא של נשות הקריירה בישראל. איך זה עובד? - את נכנסת ללינק >> aiforwomen.supersonas.com - את מזינה את הטיפ שלך במאגר (באנונימיות מוחלטת) - את מייצרת באתר גרפיקה ייחודית עם הטיפ שלך לשיתוף ברשתות החברתיות (לא חובה) - את מתמלאת גאווה על תרומתך החשובה לקידום נשים בחברה הישראלית אז חברות (לא רק מאינטל), מוזמנות - לינק בתגובה הראשונה. אם יהיה כזה לבנים, או לפחות טיפים מתאימים, אעדכן.",Alik Feldman,תרבות ארגונית,18,2,,"20",302
לינקדאין,Mar-21,https://www.linkedin.com/posts/alik-feldman-84b8a939_stress-ilovemyjob-iamintel-activity-6780772097875689472-T3EZ,"Working hard for something you don't care about, is called #stress Hummm... Watch the insightful talk with Simon Sinek in 1st comment. Well, it is not always from Day 1, it might take some years, but today I can clearly say #ilovemyjob at #iamintel, writing #myintelstory. Also, miss my #dj days, hope to have a gig soon🤘 Happy holidays and Hag Same'ach you all🤙 #wellbeing #growth #stressfree #stressmanagement",Alik Feldman,תרבות ארגונית,13,4,,"17",546
לינקדאין,Mar-21,https://www.linkedin.com/posts/agoren_deeplearning-ai-optimizationstrategies-activity-6783108034987089921-pWX7,"So what's your training strategy? A research paper that just came out, came like magic to me. While I'm in the middle of deep learning-based model optimization iterations, checking out different architectures and different training strategies, I can say that it is not trivial at all to pull out a good theory based on a mixed set of ad-hoc experiments. The paper is called: ""Revisiting ResNets: Improved Training and Scaling Strategies"" Publish date: 13 Mar 2021 https://lnkd.in/dMQqyEp This paper tries to refocus on the impact and contribution of the training recipe in contrast to making architectural modifications, in a disentangled methodical fashion. In one sentence: training recipe counts more than we think. My ""take-home"": • It's worthy to ""invest"" in an empirical study of the best regularization strategy solely (or before making changes to the architecture) to boost model accuracy. • Adopt architectural BKM's as, ResNet-D and Squeeze-Excitation. • Increase image resolution more slowly while scaling a model. • Decreasing weight decay and label smoothing should be in your check-list. #deeplearning #ai #optimizationstrategies #iamintel #myintelstory Credit: Paper authors.",Amir Goren,טכנולוגי,6,,,"6",990
לינקדאין,Mar-21,https://www.linkedin.com/posts/agoren_intel-unleashed-engineering-the-future-activity-6782035563080908800-guFD,Liked our new CEO Pat's motivating spirit. Only a month or so in his role and already taking bold decisions,Amir Goren,תרבות ארגונית,4,,,"4",457
לינקדאין,Mar-21,https://www.linkedin.com/posts/asaf-kaslassy_intelmoodlight-hwengineer-raspberrypi-activity-6775480253642014720-T6py,"לפני כמה ימים חיפשו מתנדבים מוכשרים להרכיב לצלם ולערוך קליפ קצר על גאדג'ט מגניב של אינטל, אני הרבה זמן מרגיש את ההייפ על ראספברי פיי וכבר לא מעט זמן ההתעסקות שלי יותר מוכוונת תוכנה מאשר חומרה - אז האתגר קרץ לי... כבר בשלב פתיחת הקופסא התרגשתי, חלק ועוד חלק מתחברים להם ביחד עד לקבלת מוצר מוגמר. אחרי הבנייה הפיזית הגיע שלב ההלחמה של מטריצת הלדים לבורד, הקינפוג ההתחלתי של הרספברי פיי ,התקנת מערכת ההפעלה,הרצות בלינוקס וכתיבת הסקריפט בפייטון שמדליק את הלדים - לא בדיוק משחק ילדים. בסוף כשהלדים נדלקו חוויה מאוד מספקת ובכלל כל התהליך והאתגר היה לי סופר-כיף. רוצים גם להצטרף למשפחת החומרה באינטל ?",Asaf Kaslassy,טכנולוגי,71,12,,"83",2066
לינקדאין,Mar-21,https://www.linkedin.com/posts/asaf-kaslassy_whitepaper-how-intel-sports-built-a-cloud-activity-6777149799939526656-9sGn,"הקורונה לא עשתה *רק* רע בכל התחומים. היא גם על הדרך כתופעת לוואי קידמה טכנולוגיות. הספורט ותעשיית המדיה נמצאים בתהליכי מהפכה טכנולוגית ענקית ליצירת תוכן וחוויות כדי ליצור קשר עם האוהדים שלא יכולים להגיע לאיצטדיונים. שנה שעברה תוכן הווידיאו הוולומטרי של ה- NFL, כולל Super Bowl LV, נוצר על ידי אינטל ספורט באמצעות כלים וטכנולוגיה בענן. צוות ההפקה אמנם לא הורשה להיכנס למקומות עקב מגבלות קפדניות בשל המגפה, אך היות המערכת מוכנה לענן איפשר לצוות שלנו להמשיך ליצור תוכן ולספר את הסיפור למעריצים. השנה, אנחנו מגדילים את פעולות הענן שלנו כדי להמשיך ולספק חוויות מדיה ב-TrueView עבור האוהדים שלנו בכדי לחיות מחדש חוויות בלתי נשכחות.",Asaf Kaslassy,טכנולוגי,14,2,,"16",960
לינקדאין,Mar-21,https://www.linkedin.com/posts/asaf-kaslassy_on-todays-episode-of-do-something-wonderful-activity-6778271259168956416-WBMt,Intel sent a brand new #IntelEvo platform-based laptop to TikToker @jerrydolan who was looking for a better experience than his Mac. Check out his reaction!,Asaf Kaslassy,טכנולוגי,4,,,"4",379
לינקדאין,Mar-21,https://www.linkedin.com/posts/asaf-kaslassy_intel-true-view-liverpool-fc-power-immersive-activity-6777555644187766784-vmxh,Intel Sports & Liverpool Football Club fans can now get a new perspective on season-defining moments from anywhere on the pitch,Asaf Kaslassy,טכנולוגי,2,,,"2",413
לינקדאין,Mar-21,https://www.linkedin.com/posts/asaf-kaslassy_%D7%A7%D7%91%D7%95%D7%A6%D7%AA-%D7%94-hardware-power-%D7%A9%D7%9C%D7%A0%D7%95-%D7%9B%D7%91%D7%A8-%D7%A4%D7%AA%D7%97%D7%94-%D7%94%D7%9C%D7%97%D7%99%D7%9E%D7%94-activity-6775489215506522112-V1bO,בהצלחה !,Asaf Kaslassy,טכנולוגי,1,,,"1",220
לינקדאין,Mar-21,https://www.linkedin.com/posts/asaf-kaslassy_whitepaper-how-intel-sports-built-a-cloud-activity-6777286670594162688-NSq-,,Asaf Kaslassy,טכנולוגי,,,,"0",32
לינקדאין,Mar-21,https://www.linkedin.com/posts/aylana-reiss-mandel-92a28523_intelvsacademia-myintelstory-activity-6772839947805229056-MRrb,"You know when you submit your thesis, and you basically assume that the only people who are ever going to read it are your PI, the reviewers, and if you're lucky some student might use it as a reference one day? (ok and your parents might read the acknowledgements) Well, today I was doing some research and I read someone else's thesis and it actually deepened my understanding of what I was doing and was hugely helpful in my current project! So, Christopher James Pugh of UCL, if you're out there, thank you. Your years of blood sweat and tears did not go unread",Aylana Reiss-Mandel,תרבות ארגונית,19,3,,"22",796
לינקדאין,Mar-21,https://www.linkedin.com/posts/aylana-reiss-mandel-92a28523_intelvsacademia-ergofail-myhappyplaces-activity-6775481334321217536-lyUB,"One of the things I always loved about academia was the hours spent immersed in data- the days that turn into nights with the music blasting, trying to make sense of numbers on a spreadsheet- when you know there is a pattern in there somewhere but you need to find it. The times spent working late into the night, not because anyone is forcing you to, but because there is a problem that needs solving and you want to solve it. That happy place was probably the thing I was most sad to lose when I moved. Little did I know that I wasn't actually going to lose it for long (apparently they hire PhDs for a reason- who knew?) But this time around I have a computer that notices 🤣",Aylana Reiss-Mandel,תרבות ארגונית,8,2,,"10",683
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_tech-minute-intels-rocket-lake-s-explained-activity-6777834593430114304-cMsa,"Just see what RKL offers... it takes ""them"" all... we got the power",Claudine Armaly,טכנולוגי,,,,"8",339
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_gelsinger-expanding-intel-chip-manufacturing-activity-6782392301231624192-2pzA,and that's how it's done,Claudine Armaly,טכנולוגי,,1,,"5",258
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_debug-and-validation-soc-engineer-careers-activity-6775752323969953792-7hZv,,Claudine Armaly,טכנולוגי,,,,"5",264
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_intels-new-ceo-is-bringing-back-yet-another-activity-6781845816748384256-5jej,,Claudine Armaly,תרבות ארגונית,,,,"3",588
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_i-am-hiring-our-team-is-developing-state-activity-6777185756365541376-Ow0Z,... and more hiring,Claudine Armaly,תרבות ארגונית,,,,"3",403
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_iamintel-activity-6778063758410551296-yQL4,רוקטלייק צעד ענק לפני כולם,Claudine Armaly,טכנולוגי,,,,"1",118
לינקדאין,Mar-21,https://www.linkedin.com/posts/armaly-claudine-ab161553_%D7%94%D7%A9%D7%A0%D7%94-%D7%90%D7%A0%D7%97%D7%A0%D7%95-%D7%A4%D7%95%D7%AA%D7%97%D7%95%D7%AA-%D7%93%D7%9C%D7%AA-%D7%90%D7%97%D7%AA-%D7%91%D7%A9%D7%91%D7%99%D7%9C-%D7%94%D7%A9%D7%A0%D7%99%D7%94-activity-6775751640520675328-mUcU,"לכבוד יום האישה... תכירו... אישה חזקה, מדהימה, מקצועית ובקיצור תותחית והכי חשוב תומכת בנשים סביבה (לא רק נשים 😉) Orly Cohen",Claudine Armaly,תרבות ארגונית,,,,"0",126
לינקדאין,Mar-21,https://www.linkedin.com/posts/dafna-hanam-95b76014_iamintel-myintelstory-activity-6777166023041802240-tJe_,"משתתפת מחר בביתן של אינטל בכנס Semiconductor360. אשמח להיפגש (וירטואלית כמובן), לספר על הפרוייקטים שאנחנו עושים ב-EPG, ועל משרות וריפקציה פתוחות . נתראה לינק להרשמה: https://lnkd.in/dkW7KFB",Dafna Hanam,טכנולוגי,23,,,"23",1326
